Date,Breakfast,Lunch,Dinner,event
2017/10/16,5,10,6,6
2017/10/17,5,10,51,51
2017/10/18,5,13,11,11
2017/10/19,5,13,0,≥‘Ã¿‘≤
2017/10/20,5,14,10,10
2017/10/21,0,12,16,√ª≥‘
2017/10/22,4,10,0,±ª«ÎøÕ
2017/10/23,6.5,12,8,8
2017/10/24,5,12,4.5,4.5
2017/10/25,5,11,0,≥‘Ã¿‘≤
2017/10/26,5,12,0,≥‘Ã¿‘≤
2017/10/27,0,12,0,√ª≥‘
2017/10/28,0,6,0,À¢–£‘∞ø®
2017/10/29,5,20,9,9
2017/10/30,4,15,9,9
2017/10/31,4,15,9,9
2017/11/1,5,10,0,≥‘≈›√Ê
2017/11/2,5,10,0,≥‘≈›√Ê
2017/11/3,4,12,0,≤ø√≈æ€≤Õ
2017/11/4,4,12,14,14
2017/11/5,0,14,17.5,17.5
2017/11/6,4,13,0,≥‘≈›√Ê
